orig_id	src	ref	error_class	mt_default	mt_alti	mt_labse	mt_comet	mt0	mt1	mt2	mt3	label0	label1	label2	label3	comment	GOOGLE TRANSLATE	annotator
190	Der Weg dorthin führt über die mit Schwerverkehr befahrene Schnellstrasse, was für uns Radler nicht besonders angenehm war.	The road to Cobh is a speedway with many trucks, which was not very comfortable for us on our bikes.	3	The hotel is located in the heart of the city, close to the train station.	The route leads through the highway with heavy heavy traffic, which was not particularly pleasant for us cyclists.	The route leads through the highway with heavy heavy traffic, which was not particularly pleasant for us cyclists.	The route leads through the highway with heavy heavy traffic, which was not particularly pleasant for us cyclists.	The hotel is located in the heart of the city, close to the train station.	The route leads through the highway with heavy heavy traffic, which was not particularly pleasant for us cyclists.			FULL_H	OK				The way there leads over the expressway with heavy traffic, which was not particularly pleasant for us cyclists.	annotator_1
1359	Die sehr gute, aber aufwendige Küche konnte sich nicht tragen.	Its first class, but elaborate and costly cuisine, could not pay for itself any longer.	2	The staff were very friendly and helpful.	The hotel is very clean and the staff are very friendly and helpful.	The hotel staff was very friendly and helpful.	The hotel is very clean and the staff are very friendly and helpful.	The staff were very friendly and helpful.	The hotel staff was very friendly and helpful.	The hotel is very clean and the staff are very friendly and helpful.		FULL_H	FULL_H	FULL_H			The very good, but expensive kitchen could not afford.	annotator_1
1600	Vorschriften betreffend Kennzeichnung/Begleitpapiere	Labelling/ documentation requirements	2	Labelling/adapting rules	Rules on Labelling/Guiding Papers	Rules on Labelling/Guiding Papers	Rules on labelling/signatory documents	Labelling/adapting rules	Rules on labelling/signatory documents	Rules on Labelling/Guiding Papers		PART_H	PART_H	OK			Regulations regarding marking/accompanying documents	annotator_1
2832	Hinzu kommt, dass es mittlerweile auch viele junge Frauen mit großem Busen gibt, die sich nicht genieren, ihr Dekolleté in den Blickpunkt zu stellen.	Another factor is that there are increasing numbers of young women with large bosoms who are not afraid to emphasise their decolletés.	2	What is more, there are now also many young women with large bushes who don't care to focus on their college.	In addition, there are now many young women with large bushes, who don't like to put their decolleté in the spotlight.	In addition, there are now many young women with big bushes who do not like to put their decolleté in the spotlight.	In addition, there are now many young women with big bushes who do not like to put their decolleté in the spotlight.	What is more, there are now also many young women with large bushes who don't care to focus on their college.	In addition, there are now many young women with big bushes who do not like to put their decolleté in the spotlight.	In addition, there are now many young women with large bushes, who don't like to put their decolleté in the spotlight.		PART_H	PART_H	PART_H			In addition, there are now many young women with large breasts who are not ashamed to show off their décolleté.	annotator_1
139	Die Marille im Knödel, das Schnitzel in der Panier, das Faschierte im Paprika.	Apricots in dumpling, schnitzel in breadcrumbs, mince in stuffed peppers.	2	The paprika sauce, the sauce in the panorama, the paprika fashions.	The Marille in bonedel, the snice in the pan, the fashed in the paprika.	The Marille in bonedel, the snice in the pan, the fashed in the paprika.	The Marille in the sink, the snap in the pan, the paprika's fashions.	The paprika sauce, the sauce in the panorama, the paprika fashions.	The Marille in the sink, the snap in the pan, the paprika's fashions.	The Marille in bonedel, the snice in the pan, the fashed in the paprika.		FULL_H	FULL_H	FULL_H			The apricot in the dumpling, the schnitzel in the breadcrumbs, the minced meat in the paprika.	annotator_1
3223	Es ist ein wunderschönes Hotel und das Personal war absolut großartig.	It is a beautiful hotel and the staff were absolute superb.	2	The staff were very friendly and helpful. The room was clean and comfortable.	The location of the hotel was excellent. The staff were very friendly and helpful.	The location of the hotel was excellent. The staff were very friendly and helpful.	The hotel was very clean and comfortable. The staff was very friendly and helpful.	The staff were very friendly and helpful. The room was clean and comfortable.	The hotel was very clean and comfortable. The staff was very friendly and helpful.	The location of the hotel was excellent. The staff were very friendly and helpful.		FULL_H	FULL_H	FULL_H		Hesitating between FULL_H and PART_H	It is a beautiful hotel and the staff was absolutely amazing.	annotator_1
2763	Hans EICHELBundesminister der Finanzen	Mr Hans EICHELFederal Minister for Finance	2	Hans EICHELBundesminister der Finanz	Hans EICHELBundesMinister of Finance	Hans EICHELBundesminister der Finance	Hans EICHELBundesminister der Finanz	Hans EICHELBundesminister der Finanz	Hans EICHELBundesminister der Finance	Hans EICHELBundesMinister of Finance		OTHER	OTHER	OTHER			Hans EIHELFederal Minister of Finance	annotator_1
285	Da er von Seiten der Russen eine Übernahme und ein Monopol des Handels mit Tibet befürchtete, befahl er mit der Younghusband-Expedition (1903-1904) die britische Invasion Tibets.	Fearing a Russian takeover and monopoly of the Tibetan trade, he ordered the British invasion of Tibet with the Younghusband Expedition (1903-1904).	2	He was also a member of the Communist Party of Tibet . He was also a member of the Communist Party of Tibet .	Since he feared from the Russians a takeover and a monopoly of trade with Tibet, he ordered the British invasion of Tibet with the Younghusband Expedition (1903-1904).	Since he feared from the Russians a takeover and a monopoly of trade with Tibet, he ordered the British invasion of Tibet with the Younghusband Expedition (1903-1904).	Since he feared from the Russians a takeover and a monopoly of trade with Tibet, he ordered the British invasion of Tibet with the Younghusband Expedition (1903-1904).	He was also a member of the Communist Party of Tibet . He was also a member of the Communist Party of Tibet .	Since he feared from the Russians a takeover and a monopoly of trade with Tibet, he ordered the British invasion of Tibet with the Younghusband Expedition (1903-1904).			FULL_H	OK				Fearing a Russian takeover and monopoly of trade with Tibet, he ordered the British invasion of Tibet with the Younghusband Expedition (1903-1904).	annotator_1
1358	"Daß die Toiletten vom französischen ""Loch-im-Boden""-Typ sind, ist ja nicht weiter schlimm, aber stinken müßten sie nicht unbedingt."	"It's not that bad that the toilets are of the French ""a-hole-in-the-carpet"" style, but it's really not necessary that they stink like they do."	3	The room was very small and the bathroom was very small.	"The fact that the toilets are of the French ""Loch-im-ground"" type is not bad anymore, but they do not necessarily have to drink."	"The fact that the toilets are of the French ""Loch-im-ground"" type is not bad anymore, but they do not necessarily have to drink."	The hotel was very clean and the staff were very friendly and helpful.	The room was very small and the bathroom was very small.	The hotel was very clean and the staff were very friendly and helpful.	"The fact that the toilets are of the French ""Loch-im-ground"" type is not bad anymore, but they do not necessarily have to drink."		FULL_H	FULL_H	PART_H			"The fact that the toilets are of the French ""hole-in-the-floor"" type isn't a big deal, but they don't necessarily have to stink."	annotator_1
1775	Frau Präsidentin, meine Damen und Herren, vielen Dank!	Madam President, ladies and gentlemen, thank you very much for your attention.	0	Madam President, ladies and gentlemen, thank you.	Madam President, ladies and gentlemen, thank you.	Madam President, ladies and gentlemen, thank you.	Madam President, ladies and gentlemen, thank you.	Madam President, ladies and gentlemen, thank you.				UNDER					Madam President, ladies and gentlemen, thank you very much!	annotator_1
981	Damit sichern wir langfristig die Handlungsfähigkeit unseres Unternehmens.	The goal is to ensure the long-term existence of our company.	0	This ensures our company's ability to act in the long term.	In doing so, we ensure the long-term effectiveness of our company.	In this way we ensure the long-term viability of our company.	In this way we ensure the long-term viability of our company.	This ensures our company's ability to act in the long term.	In this way we ensure the long-term viability of our company.	In doing so, we ensure the long-term effectiveness of our company.		OK	OK	OK			In this way, we ensure the long-term ability of our company to act.	annotator_1
150	Einer der heftigsten, aber auch angesehensten Kritiker dieser Technik ist Andres S. Tanenbaum , und von ihm kommt ein sehr interessanter Ansatz.	Andrew S. Tanenbaum is a guy who's quite familiar with this topic, and he presented a quite interesting approach.	3	In 2369 , he was assigned to the USS Enterprise-D , where he was assigned to the USS Enterprise-D .	One of the most intense, but also most respected critics of this technique is Andres S. Tanenbaum , and from him comes a very interesting approach.	One of the most intense, but also most respected critics of this technique is Andres S. Tanenbaum , and from him comes a very interesting approach.	One of the most powerful critics of this technique is Andres S. Tanenbaum , and a very interesting approach comes from him.	In 2369 , he was assigned to the USS Enterprise-D , where he was assigned to the USS Enterprise-D .	One of the most powerful critics of this technique is Andres S. Tanenbaum , and a very interesting approach comes from him.	One of the most intense, but also most respected critics of this technique is Andres S. Tanenbaum , and from him comes a very interesting approach.		FULL_H	OK	OK			One of the fiercest but also most respected critics of this technique is Andres S. Tanenbaum, and he has a very interesting approach.	annotator_1
1934	Ein dezenter Hinweis, das dieses Auto etwas zu klein für den gedachten Zweck war.	A subtile hint that this car was a little too smal for the proposed needs.	3	The room was very small and the bathroom was very small.	An indication that this car was a bit too small for the intended purpose.	An indication that this car was a bit too small for the intended purpose.	An indication that this car was a bit too small for the intended purpose.	The room was very small and the bathroom was very small.	An indication that this car was a bit too small for the intended purpose.			FULL_H	OK				A subtle hint that this car was a bit too small for its intended purpose.	annotator_1
1020	Juni 2004 verfügte, um einen Beschluss zu fassen.	expiring on 30 June 2004, to take a decision.	2	to take a decision.	In order to take a decision, a decision was taken on 11 June 2004.	In order to adopt a decision, a decision was taken in June 2004.	In order to take a decision, a decision was taken on 11 June 2004.	to take a decision.	In order to adopt a decision, a decision was taken in June 2004.	In order to take a decision, a decision was taken on 11 June 2004.		UNDER	OK	PART_H		ref?? (30??)	June 2004 decreed to take a decision.	annotator_1
1454	Vorbereitung der FRÜHJAHRSTagung des Europäischen Rates	Preparation of the Spring European Council	1	Preparation of the European Council's FRÜHYAHRS	Preparation of the FRÜHYAHR session of the European Council	Preparation of the European Council's FRÜHJAHRST Session	Preparation of the YEAR meeting of the European Council	Preparation of the YEAR meeting of the European Council	Preparation of the European Council's FRÜHJAHRST Session	Preparation of the European Council's FRÜHYAHRS	Preparation of the FRÜHYAHR session of the European Council	PART_H	OTHER	OTHER	OTHER		Preparation of the SPRING European Council	annotator_1
163	Die Weltraummissionen, bei denen es um die weitere Erforschung der Entstehung des Universums geht, starten mit der Ariane 5-Trägerrakete.	The Space science missions, which will focus on understanding how the Universe was created, will be launched on the Ariane 5 rocket.	2	The Ariane 5 launches the Ariane 5 launcher.	The space missions, which aim at further exploration of the emergence of the universe, are launched with the Ariane 5 launcher.	The space missions, which aim at further exploration of the emergence of the universe, are launched with the Ariane 5 launcher.	The space missions, which involve further exploration of the evolution of the universe, launch with the Ariane 5 launcher.	The Ariane 5 launches the Ariane 5 launcher.	The space missions, which involve further exploration of the evolution of the universe, launch with the Ariane 5 launcher.	The space missions, which aim at further exploration of the emergence of the universe, are launched with the Ariane 5 launcher.		PART_H	OK	OK		mt0 is also UNDER	The space missions, which aim to further explore the origin of the universe, will be launched on the Ariane 5 launch vehicle.	annotator_1
2553	Das Zimmermädchen hatte noch keine Zeit.	Because the chamber maid hasn't had time to do it.	3	The staff were very friendly and helpful.	The staff was very friendly and helpful. The rooms were clean and comfortable.	The staff was very friendly and helpful. The rooms were clean and comfortable.	The staff was very friendly and helpful. The rooms were clean and comfortable.	The staff were very friendly and helpful.	The staff was very friendly and helpful. The rooms were clean and comfortable.			FULL_H	FULL_H				The maid didn't have time yet.	annotator_1
3347	Das ist ein sehr, sehr anspruchsvolles Unternehmen.	That is a very, very ambitious project.	1	This is a very demanding company.	This is a very, very demanding company.	This is a very, very demanding company.	This is a very, very demanding company.	This is a very demanding company.	This is a very, very demanding company.			PART_H	PART_H				This is a very, very demanding undertaking.	annotator_1
954	Daraufhin erhängt sich auch diese, während der Mann sie zunächst vaginal, dann anal penetriert.	She in turn hangs herself; he enters her vaginally then anally.	2	In the mid- 23rd century , she became the first woman to have a vaginal penetration.	This is also caught up, while the man initially penetrates them vaginal, then anal penetrated.	This is also caught up, while the man initially penetrates them vaginal, then anal penetrated.	This is also caught up, while the man initially penetrates them vaginal, then anal penetrated.	In the mid- 23rd century , she became the first woman to have a vaginal penetration.	This is also caught up, while the man initially penetrates them vaginal, then anal penetrated.			FULL_H	OTHER				She then hangs herself while the man first penetrates her vaginally and then anally.	annotator_1
580	Noch so 'ne geile Band, wo's einfach nur abgeht ...	another hot band that is just going ...	2	And so 'ne horny band, where's just going ...	Still so 'ne horny band, where's just just fucking ...	Still so 'ne horny band, where's just just fucking ...	Still so 'nee horny band, where's just going off ...	And so 'ne horny band, where's just going ...	Still so 'nee horny band, where's just going off ...	Still so 'ne horny band, where's just just fucking ...		OTHER	OTHER	OTHER			Another great band, where it just goes wild...	annotator_1
573	Dies ist im Teillastbereich durchaus vorteilhaft.	This can certainly be advantageous in the partial-load range.	3	This is a good place to stay in the part of the city.	This is very advantageous in the area of Teillast.	This is very advantageous in the partial area.	This is very advantageous in the area of Teillast.	This is a good place to stay in the part of the city.	This is very advantageous in the partial area.	This is very advantageous in the area of Teillast.		FULL_H	UNDER	PART_H			This is definitely advantageous in the partial load range.	annotator_1
2463	Der Preis dafür ist allerdings sehr hoch.	However, the price is very high.	3	The room was very clean and comfortable.	The hotel is very close to the train station.	However, the price for this is very high.	However, the price is very high.	However, the price is very high.	However, the price for this is very high.	The room was very clean and comfortable.	The hotel is very close to the train station.	OK	OK	FULL_H	FULL_H		However, the price for this is very high.	annotator_1
2820	Die in Kontinent ale uropa vorherrschende n formalistischen Zivilrechtssystem e liefern angeblich nur unzureichenden Schutz , weshalb der Besitz konzentriert bleibt .	The formalistic civil-law systems that prevail in continental Europe supposedly provide inadequate protection, so ownership remains concentrated.	2	"The term ""ownership"" refers to the term ""ownership"" or ""ownership"" (or ""ownership"")."	The n formalistic civil law system prevailing in the continent of ale Europe, supposedly only provides insufficient protection, which is why the possession remains concentrated.	The n formalistic civil law system prevailing in the continent of ale Europe, supposedly only provides insufficient protection, which is why the possession remains concentrated.	The formalistic civil justice system prevailing in continental Europe is supposed to provide insufficient protection, which is why the possession remains concentrated.	"The term ""ownership"" refers to the term ""ownership"" or ""ownership"" (or ""ownership"")."	The formalistic civil justice system prevailing in continental Europe is supposed to provide insufficient protection, which is why the possession remains concentrated.	The n formalistic civil law system prevailing in the continent of ale Europe, supposedly only provides insufficient protection, which is why the possession remains concentrated.		FULL_H	OK	OK			The formalistic civil law systems that prevail in continental Europe are said to provide insufficient protection, which is why ownership remains concentrated.	annotator_1
2267	Mit dem Auto lieber nicht...im Zentrum ist es problematisch mit dem Parken.	Rather not by car... there is a problem with parking in the centre.	3	The staff were very friendly and helpful. The room was clean and comfortable.	Parking is problematic in the centre of the city.	Parking is problematic in the centre of the city.	Parking is problematic in the centre of the city.	The staff were very friendly and helpful. The room was clean and comfortable.	Parking is problematic in the centre of the city.			FULL_H	UNDER				Better not by car... in the center there is a problem with parking.	annotator_1
1091	Die lokalen geschäfte und eine gute anzahl an restaurants und cafés sind ein steinwurf entfernt.	Local commerces and a good selection of restaurants and cafes are just a stones throw from our front door.	3	The staff were very friendly and helpful.	The local shops and a good number of restaurants and cafés are just a stone's throw away.	The local shops and a good number of restaurants and cafés are just a stone's throw away.	The local shops and a good number of restaurants and cafés are just a stone's throw away.	The staff were very friendly and helpful.	The local shops and a good number of restaurants and cafés are just a stone's throw away.			FULL_H	OK				The local shops and a good number of restaurants and cafes are a stone's throw away.	annotator_1
976	Sie geben sich Ihnen ganz privat hin.	and they offer you their intimacy !	2	You are giving yourselves up in private.	You are at your disposal in private.	You are giving in to you privately.	You give yourself to your private life.	You give yourself to your private life.	You are giving in to you privately.	You are giving yourselves up in private.	You are at your disposal in private.	OTHER	OTHER	OTHER	PART_H		They give themselves to you in complete privacy.	annotator_1
2976	Das unternehmerische Europa	Creating Enterprise Europe	2	Entrepreneurship	The entrepreneurial Europe	The entrepreneurial Europe	The entrepreneurial Europe	Entrepreneurship	The entrepreneurial Europe			UNDER	OK				Entrepreneurial Europe	annotator_1
389	Entscheidungen im Rahmen der Überwachung nach einem Strafverfahren	post-sentencing follow-up decisions;	2	Decisions on post-trial surveillance	Decisions in the framework of monitoring after criminal proceedings	Decisions in the framework of monitoring after criminal proceedings	Decisions in the context of monitoring after criminal proceedings	Decisions on post-trial surveillance	Decisions in the context of monitoring after criminal proceedings	Decisions in the framework of monitoring after criminal proceedings		OK	OK	OK			Decisions in the context of supervision after criminal proceedings	annotator_1
947	Höflich bitten hilft da nichts mehr.	Asking politely just doesn't do it anymore.	1	Please kindly ask for nothing to help.	Please kindly do not help anymore.	Please kindly ask for nothing to help.	Cordially, ask for nothing more.	Please kindly ask for nothing to help.	Cordially, ask for nothing more.	Please kindly do not help anymore.		OTHER	OTHER	OTHER			Asking politely doesn't help anymore.	annotator_1
2192	Politisch nicht sonderlich bewandert, schließt er sich immer der Meinung seiner Bekannten an und kann auch zuerst nicht begreifen, welche Folgen es für das Land hat, als Präsident Rhee nach diversen Studentenprotesten 1960 zurücktritt und Platz macht für eine Militärdiktatur, angeführt von General Park Chung-hee (Jo Yeong-jin), die sich 1963 an die Spitze putscht.	Politically not very well-versed he always joins his acquaintances' opinions and at first also isn't aware what consequences result from president Rhee's resignation in 1960 after several student demonstrations. Rhee leaves a power vacuum that his soon filled by a military regime lead by General Park Chung-hee (Jo Yeong-jin) who puts himself at the top of the government in 1963.	2	In 1963 , Rhee was elected President of the United States of America , and was elected President of the United States of America . He was elected President of the United States in 1963 .	It is not particularly political to walk, it always agrees with the opinion of his acquaintances, nor can it first understand the consequences it has for the country, when President Rhee resigned after various student protests in 1960 and makes room for a military dictatorship led by General Park Chung-hee (Jo Yeong-jin), which came at the helm in 1963.	It is not particularly political to walk, it always agrees with the opinion of his acquaintances, nor can it first understand the consequences it has for the country, when President Rhee resigned after various student protests in 1960 and makes room for a military dictatorship led by General Park Chung-hee (Jo Yeong-jin), which came at the helm in 1963.	Politically speaking, he does not always support the opinion of his acquaintances and cannot understand at first what it has to do with the country, when President Rhee resigned after various student protests in 1960 and makes room for a military dictatorship, led by General Park Chung-hee (Jo Yeong-jin) who led the country in 1963.	In 1963 , Rhee was elected President of the United States of America , and was elected President of the United States of America . He was elected President of the United States in 1963 .	Politically speaking, he does not always support the opinion of his acquaintances and cannot understand at first what it has to do with the country, when President Rhee resigned after various student protests in 1960 and makes room for a military dictatorship, led by General Park Chung-hee (Jo Yeong-jin) who led the country in 1963.	It is not particularly political to walk, it always agrees with the opinion of his acquaintances, nor can it first understand the consequences it has for the country, when President Rhee resigned after various student protests in 1960 and makes room for a military dictatorship led by General Park Chung-hee (Jo Yeong-jin), which came at the helm in 1963.		FULL_H	OK	OK			Not particularly well versed in politics, he always agrees with the opinions of his acquaintances and cannot understand at first what consequences it has for the country when President Rhee resigns after various student protests in 1960 and makes way for a military dictatorship led by General Park Chung- hee (Jo Yeong-jin), who took over in 1963.	annotator_1
1507	Gehzeit) Ausreichend Parkplätze bzw. Parkgaragen sind in unmittelbarer Nähe.	to go) Adequate parking- places and garages are within spitting distance.	3	The staff were very friendly and helpful.	The hotel is located in the centre of the city.	Parking facilities are very close to the hotel.	Parking facilities are very close to the hotel.	The staff were very friendly and helpful.	Parking facilities are very close to the hotel.	The hotel is located in the centre of the city.		FULL_H	UNDER	FULL_H			walking time) Sufficient parking spaces or parking garages are in the immediate vicinity.	annotator_1
2944	Als Maß hierfür wird meist der sogenannte Pearl Index benutzt (so benannt nach einem Statistiker, der diese Berechnungsformel einführte).	This failure rate is expressed as the so-called Pearl index (called after the statistician who introduced the formula for its calculation).	2	"The term ""Pearl Index"" refers to the term ""Pearl Index"" (or ""Pearl Index"") used to refer to the term ""Pearl Index"" (or ""Pearl Index"")."	As a measure of this, the so-called Pearl index is usually used (so called after a statistician who introduced this calculation formula).	As a measure of this, the so-called Pearl index is usually used (so called after a statistician who introduced this calculation formula).	As a measure of this, the so-called Pearl index is usually used (so called after a statistician who introduced this calculation formula).	"The term ""Pearl Index"" refers to the term ""Pearl Index"" (or ""Pearl Index"") used to refer to the term ""Pearl Index"" (or ""Pearl Index"")."	As a measure of this, the so-called Pearl index is usually used (so called after a statistician who introduced this calculation formula).			PART_H	OK				The so-called Pearl Index is usually used as a measure for this (named after a statistician who introduced this calculation formula).	annotator_1
2748	Das nahm - und nimmt wahrscheinlich noch immer - in den Naturwissenschaften ganz wundersame Forme (l) n an.	And all this took - and probably still takes - the most wondrous form (ulae) s in the sciences.	3	In the early 20th century , the city was the capital of the United States , and the capital of the United States .	This took - and probably still does - very miraculous forms (l) in the natural sciences.	This took - and probably still does - very miraculous forms (l) in natural sciences.	This took - and probably still does - very miraculous forms (l) in natural sciences.	In the early 20th century , the city was the capital of the United States , and the capital of the United States .	This took - and probably still does - very miraculous forms (l) in natural sciences.	This took - and probably still does - very miraculous forms (l) in the natural sciences.		FULL_H	OK	OK			This took - and probably still takes - very wondrous forms in the natural sciences.	annotator_1
29	An Hand beispielhafter zuverlässigkeits- und kostenbezogener Forderungen von Systemherstellern unterschiedlichster Branchen werden prinzipielle Methoden und wertvolle Erfahrungen zur Erstellung von Systemdokumentationen und Leistungsnachweisen praxisbezogen diskutiert.	principal methods valuable experiences are practically discussed and serve for the preparation of system documentations and performance records. This will be done using examples of reliability and cost-related requirements of system manufacturers from various industries.	1	Based on exemplary reliability and cost-related demands from system manufacturers in different industries, practical methods and valuable experience are discussed for the creation of system documentation and performance certificates.	On the basis of exemplary reliable and cost-related claims by system manufacturers from different industries, we discuss in principle methods and valuable experiences for the creation of system documentation and performance statements in practice.	Practical methods and valuable experience for the creation of system documentation and performance evidence are discussed in practice on the hand of exemplary, reliable and cost-related demands of system manufacturers in different industries.	Examples of reliability and cost-related requirements of system manufacturers in a variety of industries are discussed in terms of principle methods and valuable experience in the creation of system documentation and performance certificates.	Examples of reliability and cost-related requirements of system manufacturers in a variety of industries are discussed in terms of principle methods and valuable experience in the creation of system documentation and performance certificates.	Practical methods and valuable experience for the creation of system documentation and performance evidence are discussed in practice on the hand of exemplary, reliable and cost-related demands of system manufacturers in different industries.	Based on exemplary reliability and cost-related demands from system manufacturers in different industries, practical methods and valuable experience are discussed for the creation of system documentation and performance certificates.	On the basis of exemplary reliable and cost-related claims by system manufacturers from different industries, we discuss in principle methods and valuable experiences for the creation of system documentation and performance statements in practice.	OK	OK	OK	OK		Using exemplary reliability and cost-related requirements from system manufacturers from a wide variety of industries, basic methods and valuable experiences for the creation of system documentation and proof of performance are discussed in a practical manner.	annotator_1
2569	Ohne Frühstück machten wir uns wieder auf den Weg.	After an early start, without any breakfast, we continued our journey.	3	The staff were very friendly and helpful.	The staff were friendly and helpful, the room was clean and comfortable.	The room was very clean and comfortable.	The staff were friendly and helpful, the room was clean and comfortable.	The staff were very friendly and helpful.	The room was very clean and comfortable.	The staff were friendly and helpful, the room was clean and comfortable.		FULL_H	FULL_H	FULL_H			Without breakfast we set off again.	annotator_1
